Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1650 OC, 4GB 128-bit GDDR6, PCI Express 3.0 x16",GV-N1656OC-4GD,"$4,141.00","$3,029.00",$99.00,53
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,148.00","$3,609.00",$99.00,2
"Gabinete Yeyian Hollow 2500 con Ventana RGB, Midi-Tower, ATX/EATX/ITX/Micro ATX, USB 3.0, sin Fuente, sin Ventiladores Instalados, Negro/Blanco",YGH-49704,"$1,054.00",$909.00,$144.00,64
"Monitor ASUS ProArt PA248QV LED 24.1"", Full HD, 75Hz, HDMI, Bocinas Integradas (2 x 4W), Negro",90LM05L1-B013B0,"$4,495.00","$3,909.00",$154.00,18
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$729.00,$579.00,$99.00,272
"Koblenz Batería de Reemplazo para No Break AB12, 12V, 9000mAh",46-4087-00-6,$743.00,$539.00,$99.00,16
"Procesador Intel Core i3-10100F, S-1200, 3.60GHz, Quad-Core, 6MB Caché (10ma Generación - Comet Lake)",BX8070110100F,"$1,205.00","$1,059.00",$99.00,23
"Cartucho Canon PG-140XXL Negro, 600 Páginas",5198B001AA,"$1,199.00",$729.00,$99.00,29
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, 32MB L3 Cache, con Disipador Wraith Stealth",100-100000031BOX,"$2,296.00","$1,969.00",$99.00,84
"TP-Link Cable de Extensión de Baja Pérdida para Antenas, 6 Metros, Negro",TL-ANT24EC6N,$418.00,$250.00,$99.00,16
"SSD Externo SanDisk Extreme Pro V2 NVMe, 1TB, USB-C, Negro",DSSDE81-1T00-G25,"$3,769.00","$2,969.00",$99.00,16
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Azul",981-000942,"$2,907.00","$2,549.00",$99.00,5
"Balam Rush Silla Gamer Thunder Rush 2, hasta 150Kg, Rosa",BR-932851,"$3,951.00","$3,049.00",$319.00,¡1
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,277.00","$1,089.00",$99.00,17
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,954.00","$2,619.00",$99.00,8
"Balam Rush Webcam Stelar CW750, 1920 x 1080 Pixeles, USB, Negro",BR-932974,$631.00,$441.00,$99.00,17
"Laptop Gamer Acer Predator Triton 300 SE PT314-52S-747P 14"" WUXGA, Intel Core i7-12700H 3.50GHz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bit, Inglés, Gris",NH.QHMAA.001,"$25,041.00","$22,399.00",$99.00,55
"Logitech Sistema de Bocinas con Subwoofer Z607, Bluetooth, Alámbrico, 5.1, 80W RMS, USB, Negro",980-001315,"$2,485.00","$2,109.00",$149.00,3
"Multifuncional Epson EcoTank M2120, Blanco y Negro, Inyección, Tanque de Tinta, Inalámbrico,  Print/Scan/Copy",C11CJ18301,"$5,621.00","$5,079.00",$139.00,2
"Monitor ASUS VA24EHE LED 23.8"", Full HD, Adaptive-Sync, FreeSync, 75Hz, HDMI, Negro",VA24EHE,"$2,546.00","$2,239.00",$144.00,9
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,"$1,114.00",$819.00,$99.00,26
"SSD Externo SanDisk Portable, 480GB, USB C, Negro",DSSDE30-480G-G25,"$1,505.00","$1,099.00",$99.00,19
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,880.00","$2,589.00",$99.00,2
"Router Tenda Gigabit Ethernet de Banda Dual Firewall AC8 AC1200, Inalámbrico, 867Mbit/s, 4x RJ-45, 2.4/5GHz, 4 Antenas Externas 6dBi",AC8,$594.00,$408.00,$99.00,15
"Kit de Teclado y Mouse Dell KM5221W, Inalámbrico, USB, Negro (Español)",580-AJIU,$816.00,$609.00,$99.00,481
"Disco Duro Interno Western Digital WD Blue 2.5"", 2TB, SATA III, 6 Gbit/s, 5400RPM, 128MB Cache",WD20SPZX,"$1,405.00","$1,189.00",$99.00,84
"Monitor BenQ GW2283 LED 21.5"", Full HD, HDMI, Bocinas Integradas (2 x 2W), Negro",9H.LHLLA.TBL,"$2,163.00","$1,879.00",$149.00,4
"Monitor Samsung LS24A310NHLXZX LCD 24"", Full HD, HDMI, Negro",LS24A310NHLXZX,"$3,637.00","$2,669.00",$154.00,¡1
"Monitor Gamer ASUS VA24DQ LED 23.8"", Full HD, FreeSync, 75Hz, HDMI, Bocinas Integradas (2 x 2W), Negro",90LM0543-B013B0,"$3,032.00","$2,699.00",$154.00,3
"Memoria USB SanDisk Ultra Shift, 256GB, USB 3.0, Negro",DCZ410-256G-G46,$428.00,$290.00,$99.00,30
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Blanco",910-005941,"$2,721.00","$2,469.00",$99.00,4
"Monitor Lenovo D19-10 61E0 LED 18.5"", HD, HDMI, Negro",61E0KAR6US,"$2,230.00","$1,909.00",$149.00,21
"Memoria RAM Adata AD5U480016G-S DDR5, 4800MHz, 16GB, ECC, CL40",AD5U480016G-S,"$1,163.00",$889.00,$99.00,¡1
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Verde",CA-9011197-NA,$772.00,$599.00,$99.00,¡1
"Nexxt Solutions Extensor de Red Kronos301, 300 Mbit/s, 2x RJ-45, Antena 3 dBi",AEIEL304U2,$310.00,$140.00,$99.00,19
"LinkedPRO Módulo Transceptor LP-SFP-10G-SM-3 SFP+, LC, 10000 Mbits/s, 3km, 1310nm, 2 Piezas",LP-SFP-10G-SM-3,$912.00,$609.00,$99.00,380
"Logitech Webcam HD Pro C920 con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-000764,"$1,128.00",$909.00,$99.00,262
"Mouse Gamer Ergonómico Logitech Óptico G502 Hero RGB, Alámbrico, USB, 16.000DPI, Negro",910-005550,"$1,073.00",$929.00,$99.00,61
"Laptop Lenovo ThinkPad T14 G2 14"" Full HD, Intel Core i7-1185G7 3GHz, 32GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Negro",20WNS8L000,"$37,799.00","$24,829.00",$99.00,34
